ConfigName,Variant,RunID,LLVM_Pass,MIR_Pass,BinarySize(Bytes),TotalRuntime(s),CompileTime(s),IR_alloca,IR_load,IR_store,IR_gep,IR_phi,IR_bb,LLVM_IR_Path,RunRepeats,TargetSeconds,Status
EXP_DBL_1540,S,1,machine-dce,UnreachableEnumBranching,452256,4.027727,0.563133,15,74,28,69,699,8,/root/MIR_LLVM/async_state_machine_bench/target/release/deps/async_state_machine_bench-399a1237d5dded42.ll,99,4.000000,Success
EXP_DBL_1540,B,1,machine-dce,UnreachableEnumBranching,452256,4.175276,0.563133,15,74,28,69,699,8,/root/MIR_LLVM/async_state_machine_bench/target/release/deps/async_state_machine_bench-399a1237d5dded42.ll,32,4.000000,Success
EXP_DBL_1540,L,1,machine-dce,UnreachableEnumBranching,452256,4.191375,0.563133,15,74,28,69,699,8,/root/MIR_LLVM/async_state_machine_bench/target/release/deps/async_state_machine_bench-399a1237d5dded42.ll,37,4.000000,Success
EXP_DBL_1540,S,2,machine-dce,UnreachableEnumBranching,452256,4.166382,0.554186,15,74,28,69,699,8,/root/MIR_LLVM/async_state_machine_bench/target/release/deps/async_state_machine_bench-399a1237d5dded42.ll,99,4.000000,Success
EXP_DBL_1540,B,2,machine-dce,UnreachableEnumBranching,452256,4.233904,0.554186,15,74,28,69,699,8,/root/MIR_LLVM/async_state_machine_bench/target/release/deps/async_state_machine_bench-399a1237d5dded42.ll,32,4.000000,Success
EXP_DBL_1540,L,2,machine-dce,UnreachableEnumBranching,452256,4.265851,0.554186,15,74,28,69,699,8,/root/MIR_LLVM/async_state_machine_bench/target/release/deps/async_state_machine_bench-399a1237d5dded42.ll,37,4.000000,Success
EXP_DBL_1540,S,3,machine-dce,UnreachableEnumBranching,452256,4.077188,0.642123,15,74,28,69,699,8,/root/MIR_LLVM/async_state_machine_bench/target/release/deps/async_state_machine_bench-399a1237d5dded42.ll,99,4.000000,Success
EXP_DBL_1540,B,3,machine-dce,UnreachableEnumBranching,452256,4.173833,0.642123,15,74,28,69,699,8,/root/MIR_LLVM/async_state_machine_bench/target/release/deps/async_state_machine_bench-399a1237d5dded42.ll,32,4.000000,Success
EXP_DBL_1540,L,3,machine-dce,UnreachableEnumBranching,452256,4.173628,0.642123,15,74,28,69,699,8,/root/MIR_LLVM/async_state_machine_bench/target/release/deps/async_state_machine_bench-399a1237d5dded42.ll,37,4.000000,Success
EXP_DBL_1540,S,4,machine-dce,UnreachableEnumBranching,452256,4.033631,0.551554,15,74,28,69,699,8,/root/MIR_LLVM/async_state_machine_bench/target/release/deps/async_state_machine_bench-399a1237d5dded42.ll,99,4.000000,Success
EXP_DBL_1540,B,4,machine-dce,UnreachableEnumBranching,452256,4.200391,0.551554,15,74,28,69,699,8,/root/MIR_LLVM/async_state_machine_bench/target/release/deps/async_state_machine_bench-399a1237d5dded42.ll,32,4.000000,Success
EXP_DBL_1540,L,4,machine-dce,UnreachableEnumBranching,452256,4.202247,0.551554,15,74,28,69,699,8,/root/MIR_LLVM/async_state_machine_bench/target/release/deps/async_state_machine_bench-399a1237d5dded42.ll,37,4.000000,Success
EXP_DBL_1540,S,5,machine-dce,UnreachableEnumBranching,452256,4.011379,0.547266,15,74,28,69,699,8,/root/MIR_LLVM/async_state_machine_bench/target/release/deps/async_state_machine_bench-399a1237d5dded42.ll,99,4.000000,Success
EXP_DBL_1540,B,5,machine-dce,UnreachableEnumBranching,452256,4.172932,0.547266,15,74,28,69,699,8,/root/MIR_LLVM/async_state_machine_bench/target/release/deps/async_state_machine_bench-399a1237d5dded42.ll,32,4.000000,Success
EXP_DBL_1540,L,5,machine-dce,UnreachableEnumBranching,452256,4.183316,0.547266,15,74,28,69,699,8,/root/MIR_LLVM/async_state_machine_bench/target/release/deps/async_state_machine_bench-399a1237d5dded42.ll,37,4.000000,Success
EXP_DBL_1540,S,6,machine-dce,UnreachableEnumBranching,452256,4.058005,0.608955,15,74,28,69,699,8,/root/MIR_LLVM/async_state_machine_bench/target/release/deps/async_state_machine_bench-399a1237d5dded42.ll,99,4.000000,Success
EXP_DBL_1540,B,6,machine-dce,UnreachableEnumBranching,452256,4.176523,0.608955,15,74,28,69,699,8,/root/MIR_LLVM/async_state_machine_bench/target/release/deps/async_state_machine_bench-399a1237d5dded42.ll,32,4.000000,Success
EXP_DBL_1540,L,6,machine-dce,UnreachableEnumBranching,452256,4.189353,0.608955,15,74,28,69,699,8,/root/MIR_LLVM/async_state_machine_bench/target/release/deps/async_state_machine_bench-399a1237d5dded42.ll,37,4.000000,Success
EXP_DBL_1540,S,7,machine-dce,UnreachableEnumBranching,452256,3.980659,0.539380,15,74,28,69,699,8,/root/MIR_LLVM/async_state_machine_bench/target/release/deps/async_state_machine_bench-399a1237d5dded42.ll,99,4.000000,Success
EXP_DBL_1540,B,7,machine-dce,UnreachableEnumBranching,452256,4.168195,0.539380,15,74,28,69,699,8,/root/MIR_LLVM/async_state_machine_bench/target/release/deps/async_state_machine_bench-399a1237d5dded42.ll,32,4.000000,Success
EXP_DBL_1540,L,7,machine-dce,UnreachableEnumBranching,452256,4.185822,0.539380,15,74,28,69,699,8,/root/MIR_LLVM/async_state_machine_bench/target/release/deps/async_state_machine_bench-399a1237d5dded42.ll,37,4.000000,Success
EXP_DBL_1540,S,8,machine-dce,UnreachableEnumBranching,452256,4.066651,0.555466,15,74,28,69,699,8,/root/MIR_LLVM/async_state_machine_bench/target/release/deps/async_state_machine_bench-399a1237d5dded42.ll,99,4.000000,Success
EXP_DBL_1540,B,8,machine-dce,UnreachableEnumBranching,452256,4.146819,0.555466,15,74,28,69,699,8,/root/MIR_LLVM/async_state_machine_bench/target/release/deps/async_state_machine_bench-399a1237d5dded42.ll,32,4.000000,Success
EXP_DBL_1540,L,8,machine-dce,UnreachableEnumBranching,452256,4.122077,0.555466,15,74,28,69,699,8,/root/MIR_LLVM/async_state_machine_bench/target/release/deps/async_state_machine_bench-399a1237d5dded42.ll,37,4.000000,Success
EXP_DBL_1540,S,9,machine-dce,UnreachableEnumBranching,452256,3.992474,0.558070,15,74,28,69,699,8,/root/MIR_LLVM/async_state_machine_bench/target/release/deps/async_state_machine_bench-399a1237d5dded42.ll,99,4.000000,Success
EXP_DBL_1540,B,9,machine-dce,UnreachableEnumBranching,452256,4.178053,0.558070,15,74,28,69,699,8,/root/MIR_LLVM/async_state_machine_bench/target/release/deps/async_state_machine_bench-399a1237d5dded42.ll,32,4.000000,Success
EXP_DBL_1540,L,9,machine-dce,UnreachableEnumBranching,452256,4.178537,0.558070,15,74,28,69,699,8,/root/MIR_LLVM/async_state_machine_bench/target/release/deps/async_state_machine_bench-399a1237d5dded42.ll,37,4.000000,Success
EXP_DBL_1540,S,10,machine-dce,UnreachableEnumBranching,452256,4.068856,0.575814,15,74,28,69,699,8,/root/MIR_LLVM/async_state_machine_bench/target/release/deps/async_state_machine_bench-399a1237d5dded42.ll,99,4.000000,Success
EXP_DBL_1540,B,10,machine-dce,UnreachableEnumBranching,452256,4.159046,0.575814,15,74,28,69,699,8,/root/MIR_LLVM/async_state_machine_bench/target/release/deps/async_state_machine_bench-399a1237d5dded42.ll,32,4.000000,Success
