ConfigName,Variant,RunID,LLVM_Pass,MIR_Pass,BinarySize(Bytes),NsPerIter,MBps,TotalRuntime(s),CompileTime(s),BenchName,BenchFilter,BenchRepeat,Status
EXP_000_ALL_OFF,tokio,1,None,All,4103096,943.940000,,10.520572,73.063156,spawn,,1,Success
EXP_000_ALL_OFF,tokio,2,None,All,4103096,940.760000,,10.579490,73.063156,spawn,,1,Success
EXP_000_ALL_OFF,tokio,3,None,All,4103096,945.250000,,9.683704,73.063156,spawn,,1,Success
EXP_000_ALL_OFF,tokio,4,None,All,4103096,949.600000,,9.821557,73.063156,spawn,,1,Success
EXP_000_ALL_OFF,tokio,5,None,All,4103096,959.300000,,10.937012,73.063156,spawn,,1,Success
EXP_000_ALL_OFF,tokio,6,None,All,4103096,984.710000,,9.717316,73.063156,spawn,,1,Success
EXP_000_ALL_OFF,tokio,7,None,All,4103096,950.780000,,9.545283,73.063156,spawn,,1,Success
EXP_000_ALL_OFF,tokio,8,None,All,4103096,941.500000,,10.619051,73.063156,spawn,,1,Success
EXP_000_ALL_OFF,tokio,9,None,All,4103096,972.260000,,9.857858,73.063156,spawn,,1,Success
EXP_000_ALL_OFF,tokio,10,None,All,4103096,953.920000,,10.601807,73.063156,spawn,,1,Success
EXP_ABL_001_CopyProp,tokio,1,None,CopyProp,4042272,897.240000,,10.413256,70.706115,spawn,,1,Success
EXP_ABL_001_CopyProp,tokio,2,None,CopyProp,4042272,917.370000,,10.532215,70.706115,spawn,,1,Success
EXP_ABL_001_CopyProp,tokio,3,None,CopyProp,4042272,917.230000,,10.608091,70.706115,spawn,,1,Success
EXP_ABL_001_CopyProp,tokio,4,None,CopyProp,4042272,877.130000,,10.425517,70.706115,spawn,,1,Success
EXP_ABL_001_CopyProp,tokio,5,None,CopyProp,4042272,885.370000,,10.453173,70.706115,spawn,,1,Success
EXP_ABL_001_CopyProp,tokio,6,None,CopyProp,4042272,903.030000,,10.414878,70.706115,spawn,,1,Success
EXP_ABL_001_CopyProp,tokio,7,None,CopyProp,4042272,881.760000,,10.462334,70.706115,spawn,,1,Success
EXP_ABL_001_CopyProp,tokio,8,None,CopyProp,4042272,878.270000,,10.429984,70.706115,spawn,,1,Success
EXP_ABL_001_CopyProp,tokio,9,None,CopyProp,4042272,975.660000,,9.483846,70.706115,spawn,,1,Success
EXP_ABL_001_CopyProp,tokio,10,None,CopyProp,4042272,871.780000,,10.270472,70.706115,spawn,,1,Success
EXP_ABL_002_DataflowConstProp,tokio,1,None,DataflowConstProp,4041368,890.200000,,10.286298,68.456894,spawn,,1,Success
EXP_ABL_002_DataflowConstProp,tokio,2,None,DataflowConstProp,4041368,869.320000,,10.177183,68.456894,spawn,,1,Success
EXP_ABL_002_DataflowConstProp,tokio,3,None,DataflowConstProp,4041368,883.620000,,10.174240,68.456894,spawn,,1,Success
EXP_ABL_002_DataflowConstProp,tokio,4,None,DataflowConstProp,4041368,890.950000,,10.455665,68.456894,spawn,,1,Success
EXP_ABL_002_DataflowConstProp,tokio,5,None,DataflowConstProp,4041368,876.250000,,10.390253,68.456894,spawn,,1,Success
EXP_ABL_002_DataflowConstProp,tokio,6,None,DataflowConstProp,4041368,885.000000,,10.325618,68.456894,spawn,,1,Success
EXP_ABL_002_DataflowConstProp,tokio,7,None,DataflowConstProp,4041368,879.050000,,10.285851,68.456894,spawn,,1,Success
EXP_ABL_002_DataflowConstProp,tokio,8,None,DataflowConstProp,4041368,877.970000,,10.412733,68.456894,spawn,,1,Success
EXP_ABL_002_DataflowConstProp,tokio,9,None,DataflowConstProp,4041368,878.380000,,10.258449,68.456894,spawn,,1,Success
