ConfigName,Variant,RunID,LLVM_Pass,MIR_Pass,BinarySize(Bytes),TotalRuntime(s),CompileTime(s),IR_alloca,IR_load,IR_store,IR_gep,IR_phi,IR_bb,LLVM_IR_Path,RunRepeats,TargetSeconds,Status
EXP_000_ALL_OFF,regex-cli,1,None,All,33083840,3.922676,43.449712,4778,12367,11728,17011,5708,1153,/root/MIR_LLVM/regex/target/release/deps/regex_cli-b5abffcfe82ddd87.ll,1,0.000000,Success
EXP_000_ALL_OFF,regex-cli,2,None,All,33083840,3.901336,41.002153,4778,12367,11728,17011,5708,1153,/root/MIR_LLVM/regex/target/release/deps/regex_cli-b5abffcfe82ddd87.ll,1,0.000000,Success
EXP_000_ALL_OFF,regex-cli,3,None,All,33083840,3.974968,40.989082,4778,12367,11728,17011,5708,1153,/root/MIR_LLVM/regex/target/release/deps/regex_cli-b5abffcfe82ddd87.ll,1,0.000000,Success
EXP_000_ALL_OFF,regex-cli,4,None,All,33083840,3.943879,40.742328,4778,12367,11728,17011,5708,1153,/root/MIR_LLVM/regex/target/release/deps/regex_cli-b5abffcfe82ddd87.ll,1,0.000000,Success
EXP_000_ALL_OFF,regex-cli,5,None,All,33083840,3.933863,40.569368,4778,12367,11728,17011,5708,1153,/root/MIR_LLVM/regex/target/release/deps/regex_cli-b5abffcfe82ddd87.ll,1,0.000000,Success
EXP_000_ALL_OFF,regex-cli,6,None,All,33083840,3.954899,40.498543,4778,12367,11728,17011,5708,1153,/root/MIR_LLVM/regex/target/release/deps/regex_cli-b5abffcfe82ddd87.ll,1,0.000000,Success
EXP_000_ALL_OFF,regex-cli,7,None,All,33083840,3.953550,40.814533,4778,12367,11728,17011,5708,1153,/root/MIR_LLVM/regex/target/release/deps/regex_cli-b5abffcfe82ddd87.ll,1,0.000000,Success
EXP_000_ALL_OFF,regex-cli,8,None,All,33083840,3.889472,40.521564,4778,12367,11728,17011,5708,1153,/root/MIR_LLVM/regex/target/release/deps/regex_cli-b5abffcfe82ddd87.ll,1,0.000000,Success
EXP_000_ALL_OFF,regex-cli,9,None,All,33083840,3.957176,40.829455,4778,12367,11728,17011,5708,1153,/root/MIR_LLVM/regex/target/release/deps/regex_cli-b5abffcfe82ddd87.ll,1,0.000000,Success
EXP_000_ALL_OFF,regex-cli,10,None,All,33083840,3.914265,40.894274,4778,12367,11728,17011,5708,1153,/root/MIR_LLVM/regex/target/release/deps/regex_cli-b5abffcfe82ddd87.ll,1,0.000000,Success
EXP_ABL_001_CopyProp,regex-cli,1,None,CopyProp,34477480,3.717238,40.144638,4616,12267,11851,16989,5912,1131,/root/MIR_LLVM/regex/target/release/deps/regex_cli-e40cca151f95b427.ll,1,0.000000,Success
EXP_ABL_001_CopyProp,regex-cli,2,None,CopyProp,34477480,3.881363,40.040848,4616,12267,11851,16989,5912,1131,/root/MIR_LLVM/regex/target/release/deps/regex_cli-e40cca151f95b427.ll,1,0.000000,Success
EXP_ABL_001_CopyProp,regex-cli,3,None,CopyProp,34477480,3.835559,40.055955,4616,12267,11851,16989,5912,1131,/root/MIR_LLVM/regex/target/release/deps/regex_cli-e40cca151f95b427.ll,1,0.000000,Success
EXP_ABL_001_CopyProp,regex-cli,4,None,CopyProp,34477480,3.724713,40.548239,4616,12267,11851,16989,5912,1131,/root/MIR_LLVM/regex/target/release/deps/regex_cli-e40cca151f95b427.ll,1,0.000000,Success
EXP_ABL_001_CopyProp,regex-cli,5,None,CopyProp,34477480,3.850831,40.050396,4616,12267,11851,16989,5912,1131,/root/MIR_LLVM/regex/target/release/deps/regex_cli-e40cca151f95b427.ll,1,0.000000,Success
EXP_ABL_001_CopyProp,regex-cli,6,None,CopyProp,34477480,3.734726,40.634243,4616,12267,11851,16989,5912,1131,/root/MIR_LLVM/regex/target/release/deps/regex_cli-e40cca151f95b427.ll,1,0.000000,Success
EXP_ABL_001_CopyProp,regex-cli,7,None,CopyProp,34477480,3.743880,40.286452,4616,12267,11851,16989,5912,1131,/root/MIR_LLVM/regex/target/release/deps/regex_cli-e40cca151f95b427.ll,1,0.000000,Success
EXP_ABL_001_CopyProp,regex-cli,8,None,CopyProp,34477480,3.719388,40.502330,4616,12267,11851,16989,5912,1131,/root/MIR_LLVM/regex/target/release/deps/regex_cli-e40cca151f95b427.ll,1,0.000000,Success
EXP_ABL_001_CopyProp,regex-cli,9,None,CopyProp,34477480,3.730864,40.333701,4616,12267,11851,16989,5912,1131,/root/MIR_LLVM/regex/target/release/deps/regex_cli-e40cca151f95b427.ll,1,0.000000,Success
