pass,side,weighted_degree,degree
GVN,MIR,4.631287053152378,21
DestinationPropagation,MIR,2.8772702756189035,21
advanced-peeling,LLVM,0.9866346542454492,2
MatchBranchSimplification,MIR,0.948964834760483,20
EarlyOtherwiseBranch,MIR,0.912548532847953,12
vector-combine,LLVM,0.689955458348328,4
early-ifcvt,LLVM,0.6406431564490355,3
chr,LLVM,0.5879826305311461,2
cgp-ext-ld-promotion,LLVM,0.5522608810821716,3
lsr,LLVM,0.5013379096540541,2
lftr,LLVM,0.48090022215254596,2
machine-licm,LLVM,0.4772049030460095,3
loop-level-heuristics,LLVM,0.35521190179710005,4
branch-fold,LLVM,0.34277073029100474,2
cgp-branch-opts,LLVM,0.32668040362317485,1
licm-promotion,LLVM,0.30607716881893965,3
preheader-prot,LLVM,0.29225097802198824,3
block-placement,LLVM,0.2799708709844691,2
ifcvt-forked-diamond,LLVM,0.2531711636653548,1
partial-inlining,LLVM,0.2530799918311594,5
ReferencePropagation,MIR,0.24663536740933384,26
postra-machine-licm,LLVM,0.2393846646503682,1
tail-duplicate,LLVM,0.23681437100656405,3
early-taildup,LLVM,0.2154035571811265,2
ForceInline,MIR,0.16845249648667243,1
SingleUseConsts,MIR,0.16113695525540853,2
cgp-select2branch,LLVM,0.15943542160286725,2
ifcvt-triangle-rev,LLVM,0.13445192546613075,1
ifcvt-simple,LLVM,0.12680729248336287,2
thinlto-funcattrs,LLVM,0.12591107845908028,1
partial-libcall-inlining,LLVM,0.12347717200510495,4
sample-loader-inlining,LLVM,0.12103931588417091,2
EnumSizeOpt,MIR,0.12027235071215125,15
ra-fsprofile-loader,LLVM,0.11694896953178222,1
strictnode-mutation,LLVM,0.11452789657197722,4
post-ra,LLVM,0.10858848440974951,4
ifcvt-simple-false,LLVM,0.10533008319952955,2
spill-fusing,LLVM,0.10154179784068369,4
ifcvt-triangle,LLVM,0.08553791684011061,2
ifcvt-triangle-false,LLVM,0.07523978398491374,1
peephole,LLVM,0.07522245830922705,4
tail-calls,LLVM,0.05561698038611182,2
mr-partial-inlining,LLVM,0.04583431021654469,2
vp,LLVM,0.04234393566006039,2
dfa-sched,LLVM,0.039153286500023275,1
2addr-hack,LLVM,0.030859200326096407,1
replace-with-vec-lib,LLVM,0.02843942377918557,2
cgp,LLVM,0.023130227249482844,1
complex-addr-modes,LLVM,0.022355622839509946,1
ifcvt-diamond,LLVM,0.01924395193422078,2
