mir_pass,llvm_pass,y00_mean,y10_mean,y01_mean,y11_mean,y_pred_mean,ratio_y11_over_pred,ratio_y11_over_base,ratio_pred_over_base,delta,ci_low,ci_high,p_value,p_adj,significant,pattern,pattern_cn
DeadStoreElimination-initial,lftr,13.91093302922557,8.58137778244591,8.67654948427037,44.90327941060993,5.3523907286580705,8.38938741340132,3.2279128449739742,0.3847614475185236,-2.1269675039161307,-2.54950749937044,-1.7044275084618214,0.0,0.0,True,collapse_interference,崩塌型负交互（单独改进，联合反而更差）
DeadStoreElimination-initial,advanced-peeling,13.91093302922557,8.58137778244591,8.882646671192484,44.24351091206863,5.479527982296083,8.074328857342435,3.1804847898496202,0.39390082396228254,-2.0886897520127867,-2.4962101665123972,-1.6811693375131764,0.0,0.0,True,collapse_interference,崩塌型负交互（单独改进，联合反而更差）
ForceInline,last-run-tracking,13.91093302922557,8.581936297626852,8.829790563863092,42.81785648130081,5.447276611946875,7.86041531054131,3.078000331921985,0.3915824050408881,-2.061839443536472,-2.4628086500639204,-1.6608702370090236,0.0,0.0,True,collapse_interference,崩塌型负交互（单独改进，联合反而更差）
ForceInline,ra-fsprofile-loader,13.91093302922557,8.581936297626852,9.162723724123492,43.427470900085204,5.6526698207790655,7.682647718153812,3.1218230156703473,0.40634728158803834,-2.0389642427131864,-2.440492433160715,-1.6374360522656577,0.0,0.0,True,collapse_interference,崩塌型负交互（单独改进，联合反而更差）
ForceInline,nounwind-inference,13.91093302922557,8.581936297626852,8.955219789010709,41.47607209734614,5.5246564410220405,7.507448207887697,2.9815449481504075,0.39714492402596246,-2.015895622135295,-2.4330707530135403,-1.5987204912570494,0.0,0.0,True,collapse_interference,崩塌型负交互（单独改进，联合反而更差）
ForceInline,promote-alloca-to-vector,13.91093302922557,8.581936297626852,8.57309355787084,39.601219135625094,5.288915030549793,7.48758845753445,2.846769447629906,0.3801984395610472,-2.0132467773997558,-2.420302370717302,-1.6061911840822094,0.0,0.0,True,collapse_interference,崩塌型负交互（单独改进，联合反而更差）
DeadStoreElimination-initial,nofree-inference,13.91093302922557,8.58137778244591,8.89841079921425,40.93882524518928,5.489252559194081,7.457996294344274,2.9429244723686496,0.3945998839662066,-2.009286784886604,-2.4136754496306696,-1.6048981201425385,0.0,0.0,True,collapse_interference,崩塌型负交互（单独改进，联合反而更差）
DeadStoreElimination-initial,lsr,13.91093302922557,8.58137778244591,9.026266901171999,41.26873898974834,5.568124444378582,7.411605003083592,2.9666406202263054,0.4002696607539173,-2.00304701546011,-2.39673008190645,-1.6093639490137703,0.0,0.0,True,collapse_interference,崩塌型负交互（单独改进，联合反而更差）
DeadStoreElimination-initial,nounwind-inference,13.91093302922557,8.58137778244591,8.955219789010709,40.55365470967896,5.524296894599789,7.34096220449732,2.9152361401265843,0.39711907770627297,-1.9934699245657814,-2.391520603459985,-1.5954192456715777,0.0,0.0,True,collapse_interference,崩塌型负交互（单独改进，联合反而更差）
DeadStoreElimination-initial,layout-fsprofile-loader,13.91093302922557,8.58137778244591,9.300157576444928,42.10945401456376,5.737082152008138,7.339872935203531,3.0270761800158,0.4124153383497041,-1.9933215311964094,-2.4021179194911606,-1.5845251429016585,0.0,0.0,True,collapse_interference,崩塌型负交互（单独改进，联合反而更差）
DeadStoreElimination-initial,interleaved-load-combine,13.91093302922557,8.58137778244591,9.225008993777664,41.653960243620084,5.690724486686313,7.319623422478326,2.994332598403645,0.40908287565834967,-1.990558881633258,-2.3836988054300177,-1.5974189578364981,0.0,0.0,True,collapse_interference,崩塌型负交互（单独改进，联合反而更差）
