ConfigName,Variant,RunID,LLVM_Pass,MIR_Pass,BinarySize(Bytes),TotalRuntime(s),CompileTime(s),IR_alloca,IR_load,IR_store,IR_gep,IR_phi,IR_bb,LLVM_IR_Path,RunRepeats,TargetSeconds,Status
EXP_000_ALL_OFF,A,1,None,All,449952,4.088281,1.600268,18,66,32,54,71,13,/mnt/fjx/Compiler_Experiment/aggregate_scalarization_bench/target/release/deps/aggregate_scalarization_bench-d325e150e20aae91.ll,329,3.000000,Success
EXP_000_ALL_OFF,B,1,None,All,449952,3.898033,1.600268,18,66,32,54,71,13,/mnt/fjx/Compiler_Experiment/aggregate_scalarization_bench/target/release/deps/aggregate_scalarization_bench-d325e150e20aae91.ll,17,3.000000,Success
EXP_000_ALL_OFF,C,1,None,All,449952,1.608345,1.600268,18,66,32,54,71,13,/mnt/fjx/Compiler_Experiment/aggregate_scalarization_bench/target/release/deps/aggregate_scalarization_bench-d325e150e20aae91.ll,174,3.000000,Success
EXP_000_ALL_OFF,A,2,None,All,449952,3.252842,0.931590,18,66,32,54,71,13,/mnt/fjx/Compiler_Experiment/aggregate_scalarization_bench/target/release/deps/aggregate_scalarization_bench-d325e150e20aae91.ll,329,3.000000,Success
EXP_000_ALL_OFF,B,2,None,All,449952,4.005496,0.931590,18,66,32,54,71,13,/mnt/fjx/Compiler_Experiment/aggregate_scalarization_bench/target/release/deps/aggregate_scalarization_bench-d325e150e20aae91.ll,17,3.000000,Success
EXP_000_ALL_OFF,C,2,None,All,449952,1.706694,0.931590,18,66,32,54,71,13,/mnt/fjx/Compiler_Experiment/aggregate_scalarization_bench/target/release/deps/aggregate_scalarization_bench-d325e150e20aae91.ll,174,3.000000,Success
EXP_000_ALL_OFF,A,3,None,All,449952,4.333566,0.985102,18,66,32,54,71,13,/mnt/fjx/Compiler_Experiment/aggregate_scalarization_bench/target/release/deps/aggregate_scalarization_bench-d325e150e20aae91.ll,329,3.000000,Success
EXP_000_ALL_OFF,B,3,None,All,449952,4.126732,0.985102,18,66,32,54,71,13,/mnt/fjx/Compiler_Experiment/aggregate_scalarization_bench/target/release/deps/aggregate_scalarization_bench-d325e150e20aae91.ll,17,3.000000,Success
EXP_000_ALL_OFF,C,3,None,All,449952,2.383532,0.985102,18,66,32,54,71,13,/mnt/fjx/Compiler_Experiment/aggregate_scalarization_bench/target/release/deps/aggregate_scalarization_bench-d325e150e20aae91.ll,174,3.000000,Success
EXP_ABL_001_CopyProp,A,1,None,CopyProp,449968,3.545132,0.903188,17,65,31,54,71,13,/mnt/fjx/Compiler_Experiment/aggregate_scalarization_bench/target/release/deps/aggregate_scalarization_bench-a03f03903a5c95c5.ll,329,3.000000,Success
