mir_pass,llvm_pass,y00_mean,y10_mean,y01_mean,y11_mean,delta,interaction_ratio,interaction_pct,mir_drop_pct,llvm_drop_pct,joint_drop_pct,ci_low,ci_high,p_value,n_y00,n_y10,n_y01,n_y11,variant_count,variants_used,abs_delta,interaction_rank,effect_level,p_adj,significant,crosses_zero,interaction_type
ReferencePropagation,ondemand-mds-loading,12.38278487551262,13.4071706779255,13.421112905473,16.674298732629033,-0.1375569813937716,0.8714846901700317,-12.851530982996827,8.272660897458039,8.385254531989084,34.65709773899916,-0.2514273163365372,-0.0261264725067509,0.015992003998001,60,20,20,20,2,"A,B",0.1375569813937716,1,extreme,0.0166541572375669,True,False,negative_interaction
ScalarReplacementOfAggregates,partial-inlining,12.38278487551262,13.401083547845,13.419417682818365,15.685936154694629,-0.0770334117615967,0.9258589185122428,-7.414108148775722,8.223502891874524,8.37156437527813,26.675350596731292,-0.1288590021848522,-0.0252068196980137,0.0059970014992503,60,20,20,20,2,"A,B",0.0770334117615967,1511,weak,0.0062966619157214,True,False,negative_interaction
ScalarReplacementOfAggregates,cgp,12.38278487551262,13.401083547845,13.629149109341515,15.768152764615472,-0.0667530681419941,0.9354261593397116,-6.457384066028837,8.223502891874524,10.06529828595848,27.339309558688484,-0.1267188026342325,-0.0070153655018458,0.0279860069965017,60,20,20,20,2,"A,B",0.0667530681419941,1585,weak,0.0289992332173488,True,False,negative_interaction
ScalarReplacementOfAggregates,nofree-inference,12.38278487551262,13.401083547845,13.429422075548231,15.516888730327034,-0.0654526750405952,0.9366433723203388,-6.335662767966133,8.223502891874524,8.452357127719878,25.310169613074773,-0.1164763294135599,-0.0124359101814034,0.0199900049975012,60,20,20,20,2,"A,B",0.0654526750405952,1587,weak,0.0207916092079273,True,False,negative_interaction
SingleUseConsts,binop-extract-shuffle,12.38278487551262,13.42057830473937,13.42012492052165,15.48102242158023,-0.0623774420005629,0.9395282024545972,-6.047179754540288,8.380937241985231,8.37727583445631,25.02052306662035,-0.1155198894013109,-0.0067761630080051,0.032983508245877,60,20,20,20,2,"A,B",0.0623774420005629,1590,weak,0.0341350521746608,True,False,negative_interaction
ScalarReplacementOfAggregates,ra-fsprofile-loader,12.38278487551262,13.401083547845,13.41785006692212,15.453594508043786,-0.0622273415224206,0.9396692366714008,-6.033076332859933,8.223502891874524,8.358904736012796,24.7990227029123,-0.116767362019436,-0.0035381940136738,0.0339830084957521,60,20,20,20,2,"A,B",0.0622273415224206,1591,weak,0.0351256501263689,True,False,negative_interaction
ScalarReplacementOfAggregates,complex-addr-modes,12.38278487551262,13.401083547845,13.415703119210468,15.43882987619715,-0.0614314871372545,0.940417374218797,-5.9582625781203,8.223502891874524,8.341566570703174,24.679787555123923,-0.1130747526953376,-0.0105681663333255,0.0249875062468765,60,20,20,20,2,"A,B",0.0614314871372545,1593,weak,0.0259569839610857,True,False,negative_interaction
ScalarReplacementOfAggregates,strictnode-mutation,12.38278487551262,13.401083547845,13.41357212089637,15.411610354805845,-0.0598257313385623,0.9419286679302268,-5.80713320697731,8.223502891874524,8.32435720838669,24.459970109654662,-0.1126966743896767,-0.003888716517941,0.0389805097451274,60,20,20,20,2,"A,B",0.0598257313385623,1595,weak,0.0402410734931041,True,False,negative_interaction
ScalarReplacementOfAggregates,global-outlining,12.38278487551262,13.401083547845,13.413270888240625,15.406859633763675,-0.0595398853939859,0.9421979529052104,-5.780204709478953,8.223502891874524,8.321924535455882,24.42160457968765,-0.1116330039682438,-0.0080926680443259,0.0259870064967516,60,20,20,20,2,"A,B",0.0595398853939859,1597,weak,0.0269615192403798,True,False,negative_interaction
ScalarReplacementOfAggregates,partial-libcall-inlining,12.38278487551262,13.401083547845,13.424142315054132,15.392579363454182,-0.0578024086134056,0.9438364229607442,-5.616357703925578,8.223502891874524,8.409719219146194,24.30628100382761,-0.11263298631824,-0.0037150841326647,0.0419790104947526,60,20,20,20,2,"A,B",0.0578024086134056,1604,weak,0.0433096068497758,True,False,negative_interaction
SingleUseConsts,loop-idiom-vectorize-all,12.38278487551262,13.42057830473937,13.424683781537588,15.38470592485627,-0.0557967766633902,0.9457313110350628,-5.426868896493731,8.380937241985231,8.414091955076742,24.242697256899383,-0.1065295291998299,-0.0037101765768005,0.0349825087456271,60,20,20,20,2,"A,B",0.0557967766633902,1605,weak,0.0361362567005234,True,False,negative_interaction
ScalarReplacementOfAggregates,cfi-fixup,12.38278487551262,13.401083547845,13.42990713907061,15.367874835075218,-0.0557668108943136,0.9457596510257504,-5.424034897424967,8.223502891874524,8.456274368689943,24.106773957332628,-0.1088217903728453,-0.0017867912592991,0.0439780109945027,60,20,20,20,2,"A,B",0.0557668108943136,1606,weak,0.0453437877334624,True,False,negative_interaction
