mir_pass,llvm_pass,y00_mean,y10_mean,y01_mean,y11_mean,delta,interaction_ratio,interaction_pct,mir_drop_pct,llvm_drop_pct,joint_drop_pct,ci_low,ci_high,p_value,n_y00,n_y10,n_y01,n_y11,abs_delta,interaction_rank,effect_level,p_adj,significant,crosses_zero,interaction_type
DestinationPropagation,machine-licm,9.725770910945224,10.351880393060638,9.739416343498526,14.197042130675271,-0.3144634237721004,0.7301805667074028,-26.98194332925972,6.437633457012648,0.1403018092678509,45.9734375883577,-0.3454075622784389,-0.2795147684603298,0.000999500249875,10,10,10,10,0.3144634237721004,115,moderate,0.0014735083612722,True,False,negative_interaction
DestinationPropagation,machine-cse,9.725770910945224,10.351880393060638,9.57273108348217,13.939668774269643,-0.3134310735239047,0.7309347580244862,-26.906524197551384,6.437633457012648,-1.5735495814612088,43.327134701293126,-0.3526482007927107,-0.270063687317408,0.000999500249875,10,10,10,10,0.3134310735239047,117,moderate,0.0014735083612722,True,False,negative_interaction
DestinationPropagation,machine-sink,9.725770910945224,10.351880393060638,10.013210376763952,14.351672685483887,-0.2975722137057706,0.7426189540177788,-25.73810459822212,6.437633457012648,2.955441460123742,47.56334296680536,-0.323891900429031,-0.2650895406161763,0.000999500249875,10,10,10,10,0.2975722137057706,135,moderate,0.0014735083612722,True,False,negative_interaction
DestinationPropagation,postra-machine-sink,9.725770910945224,10.351880393060638,9.531605172783005,13.598429874847175,-0.2929521722677748,0.7460578220976742,-25.394217790232577,6.437633457012648,-1.9964046031940572,39.81852954755212,-0.3162192632732415,-0.2709001208834479,0.000999500249875,10,10,10,10,0.2929521722677748,145,moderate,0.0014735083612722,True,False,negative_interaction
DeadStoreElimination-initial,complex-addr-modes,9.725770910945224,9.387522572491886,9.61900116280312,12.4042255605673,-0.2896944913159696,0.7484922035197585,-25.150779648024148,-3.4778563216277147,-1.0978024171014011,27.539767018445676,-0.3622262982400289,-0.2106080015402704,0.000999500249875,10,10,10,10,0.2896944913159696,149,moderate,0.0014735083612722,True,False,negative_interaction
DeadStoreElimination-final,complex-addr-modes,9.725770910945224,9.40059115597257,9.61900116280312,12.33599035371678,-0.2827871859814204,0.7536801644984441,-24.63198355015559,-3.343485652193412,-1.0978024171014011,26.83817526314605,-0.3147990066967289,-0.2446562440746397,0.000999500249875,10,10,10,10,0.2827871859814204,164,moderate,0.0014735083612722,True,False,negative_interaction
DestinationPropagation,ssc,9.725770910945224,10.351880393060638,9.4260907098251,13.30668085497603,-0.2823957509241355,0.7539752390843102,-24.60247609156898,6.437633457012648,-3.0813002266264267,36.81877741949389,-0.3187409904911302,-0.2506450996196713,0.000999500249875,10,10,10,10,0.2823957509241355,165,moderate,0.0014735083612722,True,False,negative_interaction
DestinationPropagation,phi-elim-edge-splitting,9.725770910945224,10.351880393060638,9.612819118481497,13.5565499299185,-0.2813832613428255,0.7547390177521724,-24.52609822478276,6.437633457012648,-1.161365957495586,39.38792157506179,-0.3059465842205417,-0.2590804266227733,0.000999500249875,10,10,10,10,0.2813832613428255,167,moderate,0.0014735083612722,True,False,negative_interaction
DeadStoreElimination-initial,spill-fusing,9.725770910945224,9.387522572491886,9.7279632101356,12.429793597962654,-0.2804894926663754,0.7554138813861979,-24.45861186138021,-3.4778563216277147,0.0225411354066507,27.8026565891488,-0.3191475030363183,-0.2351743946445985,0.000999500249875,10,10,10,10,0.2804894926663754,169,moderate,0.0014735083612722,True,False,negative_interaction
DeadStoreElimination-initial,i2p-p2i-opt,9.725770910945224,9.387522572491886,9.507641771660936,12.145795407237843,-0.2802849164052854,0.7555684369422873,-24.443156305771275,-3.4778563216277147,-2.242795365854322,24.882598186321303,-0.3473805675329867,-0.2032945100136976,0.000999500249875,10,10,10,10,0.2802849164052854,170,moderate,0.0014735083612722,True,False,negative_interaction
