mir_pass,llvm_pass,y00_mean,y10_mean,y01_mean,y11_mean,delta,interaction_ratio,interaction_pct,mir_drop_pct,llvm_drop_pct,joint_drop_pct,ci_low,ci_high,p_value,n_y00,n_y10,n_y01,n_y11,abs_delta,interaction_rank,effect_level,p_adj,significant,crosses_zero,interaction_type
MatchBranchSimplification,i2p-p2i-opt,13.910933029225577,11.718660312826753,26.49430880117277,9.03421463702749,0.9044183419558692,2.470494522048337,147.0494522048337,-15.759350661764117,90.45673460946652,-35.05673114774223,0.3363589221674756,1.5551668678662158,0.000999500249875,6,3,3,3,0.9044183419558692,279,moderate,0.0032216901258108,True,False,positive_interaction
MatchBranchSimplification,dfa-sched,13.910933029225577,11.718660312826753,25.999700490586477,9.065606416552065,0.8821046699188795,2.415979197958242,141.5979197958242,-15.759350661764117,86.90119804303222,-34.831068501975615,0.3089750961645717,1.5889184906385176,0.000999500249875,6,3,3,3,0.8821046699188795,287,moderate,0.0032216901258108,True,False,positive_interaction
UnreachablePropagation,block-placement,13.910933029225577,11.021668158938326,25.23999599685106,8.373455192181778,0.8705513610557585,2.388227266088439,138.82272660884388,-20.769741786673645,81.4399935922643,-39.80666016729483,0.440144721690782,1.301173219242285,0.000999500249875,6,3,3,3,0.8705513610557585,292,moderate,0.0032216901258108,True,False,positive_interaction
MatchBranchSimplification,branch-fold,13.910933029225577,11.718660312826753,24.538828249514776,8.677163419947194,0.8680693992246411,2.3823071269886844,138.23071269886844,-15.759350661764117,76.39958583626981,-37.62342610867812,0.2826725401875502,1.516493901918004,0.0019990004997501,6,3,3,3,0.8680693992246411,294,moderate,0.0058627929851328,True,False,positive_interaction
UnreachablePropagation,i2p-p2i-opt,13.910933029225577,11.021668158938326,26.49430880117277,8.881838693638871,0.8601094400615477,2.3634193323100154,136.34193323100155,-20.769741786673645,90.45673460946652,-36.15209939564116,0.435848576348802,1.266914968474119,0.000999500249875,6,3,3,3,0.8601094400615477,298,moderate,0.0032216901258108,True,False,positive_interaction
MatchBranchSimplification,block-placement,13.910933029225577,11.718660312826753,25.23999599685106,9.026377723255942,0.8567861201866358,2.355577970763498,135.55779707634977,-15.759350661764117,81.4399935922643,-35.11306751105505,0.3168002139081237,1.4855164230370397,0.000999500249875,6,3,3,3,0.8567861201866358,302,moderate,0.0032216901258108,True,False,positive_interaction
MatchBranchSimplification,tail-calls,13.910933029225577,11.718660312826753,24.325403737222963,8.729291661616289,0.8533443874184883,2.347484636409767,134.74846364097667,-15.759350661764117,74.8653644303912,-37.24869752965628,0.2901450071973378,1.4849107590674275,0.0019990004997501,6,3,3,3,0.8533443874184883,304,moderate,0.0058627929851328,True,False,positive_interaction
UnreachablePropagation,dfa-sched,13.910933029225577,11.021668158938326,25.999700490586477,8.916863019871727,0.8373289010291982,2.310187987353368,131.0187987353368,-20.769741786673645,86.90119804303222,-35.90032385938292,0.433667876818852,1.274314501160537,0.000999500249875,6,3,3,3,0.8373289010291982,309,moderate,0.0032216901258108,True,False,positive_interaction
UnreachablePropagation,ifcvt-forked-diamond,13.910933029225577,11.021668158938326,26.282051590637995,9.034830190416429,0.834987215976414,2.304784583678196,130.47845836781963,-20.769741786673645,88.93090445782357,-35.05230618654341,0.366653006483065,1.3150334538452535,0.000999500249875,6,3,3,3,0.834987215976414,310,moderate,0.0032216901258108,True,False,positive_interaction
UnreachablePropagation,branch-fold,13.910933029225577,11.021668158938326,24.538828249514776,8.45266848082225,0.8329625895049126,2.300122976398093,130.01229763980936,-20.769741786673645,76.39958583626981,-39.23722827890853,0.3924577511698843,1.2514240444076632,0.000999500249875,6,3,3,3,0.8329625895049126,312,moderate,0.0032216901258108,True,False,positive_interaction
UnreachablePropagation,tail-calls,13.910933029225577,11.021668158938326,24.325403737222963,8.408925959773198,0.8294155576445732,2.291978819249316,129.19788192493152,-20.769741786673645,74.8653644303912,-39.55167534696036,0.4241015396932766,1.2473243157980562,0.000999500249875,6,3,3,3,0.8294155576445732,315,moderate,0.0032216901258108,True,False,positive_interaction
UnreachablePropagation,ifcvt-triangle,13.910933029225577,11.021668158938326,24.34196535639345,8.611798418624995,0.8062567460725494,2.239509225431721,123.95092254317208,-20.769741786673645,74.98441912741043,-38.09330833142244,0.3926186476526983,1.2541953648113595,0.000999500249875,6,3,3,3,0.8062567460725494,329,moderate,0.0032216901258108,True,False,positive_interaction
MatchBranchSimplification,post-ra,13.910933029225577,11.718660312826753,23.73302647616612,8.944612906399218,0.804323549126067,2.235183995143529,123.51839951435292,-15.759350661764117,70.60700692257835,-35.7008412907501,0.2265903138118252,1.4409511669299917,0.000999500249875,6,3,3,3,0.804323549126067,330,moderate,0.0032216901258108,True,False,positive_interaction
MatchBranchSimplification,ifcvt-forked-diamond,13.910933029225577,11.718660312826753,26.282051590637995,10.019872205354092,0.7928233055671052,2.209626077619339,120.96260776193392,-15.759350661764117,88.93090445782357,-27.97124258809044,0.1930835847247459,1.476515475255732,0.0079960019990005,6,3,3,3,0.7928233055671052,334,moderate,0.01904356286706,True,False,positive_interaction
UnreachablePropagation,post-ra,13.910933029225577,11.021668158938326,23.73302647616612,8.538964710904041,0.7894159160893843,2.202109833630256,120.21098336302556,-20.769741786673645,70.60700692257835,-38.61688002548448,0.3812678862997062,1.228344819547289,0.000999500249875,6,3,3,3,0.7894159160893843,339,moderate,0.0032216901258108,True,False,positive_interaction
